full_text;username;label
@BarbMcQuade All Americans should be asking why we didn't prosecute all the insurrectionists at the WH on 5/29/2020 when Trump was rushed to the bunker barricades broken 100 Federal and local police as well as 60 Secret Services agents were injured and a ;Tessa122311;
@officer_Lew I m more worried about Hakeem Jeffries being able to turn a few Rinos if we don t get Johnson elected in. I don t trust Johnson. But we pick the time to replace him later after Trump gets his agenda under way.;Nick420503;
@Bikertrash_68 Happy New Year Bro!!! 🇺🇸;Cali4Trump24;
@GuntherEagleman Trump has no power president Musk does.;Dave79798211740;
@TaraBull808 Sounds like he is trying to combine the big tent new right with maga. MAGA is one faction of the new right. All new right faction do not support trump no matter what that s just maga.;cdiverMatt;
@TShirtnJeans2 Trump is a rationalist. He may take the stance that he will use any company that benefits him even a Chinese company. Therefore his stance on tariffs and regulations on China may be known at an early stage.;Nikola_pn2501;
@CoinCutArt @Michell33650674 That s spot on four years he had to hold Trump accountable and did nothing for three of them;bigbushy62;
@imetatronink Trump doesn t have the luxury of time. The collective west doesn t have the luxury of men &amp;;
@sues86453 @gieblerp @RepThomasMassie @newtgingrich The new President wouldn t be Trump though. His election wasn t certified. It would pass to the next in the current line of succession (Chuck Grassley).;BrentASwift;
@TRUMP_ARMY_ Man made climate change ? yes that's a hoax.;hben61jul;
@TuckerCNews If it is through EO with no input from Congress Trump can reverse it.;heitmeyernancy;
@KyleKulinski Dude what happened to you?;ElonTrumpo;
Happy New Year to all my followers 2025 has to be a fantastic year. https://t.co/TImDSTR52x;jjriver856;
NEW FLASH GENIUS! THE US HAS THE DUBIOUS DISTINCTION OF BEING THE 5TH COUNTRY WORLDWIDE FOR THEIR EXECUTIONS! CAN SOMEONE REMIND TRUMP HE'S BEEN FOUND GUILTY OF RAPE DEFAMATION REAL ESTATE FRAUD &amp;;
@TruthHurtsTKV White Russian.;NidaTrump;
@REVMAXXING 🇺🇸 Trump did nothing wrong. https://t.co/VhSMaoDeLv;LB_Citizen_;
@LisaMarieBoothe Did Trump win in 2020?;dannorton111;
@CitizenFreePres We love President Trump🇺🇸🇺🇸️;DogZakky;
Trump voters get RUDE AWAKENING after Trump s LATEST BETRAYAL https://t.co/qEJ8AW29T5 via @YouTube;shell_loyd;
Following;Gimpa4Trump;
@waylandtb @TiceRichard Wonder what would happen to Trump and Farage if Putin was suddenly not around?;willgetthereso;
@JDVanceNewsX Gates must never be allowed anywhere near Trump.;cnamarriott;
@ElijahSchaffer Nope! Trump is the swamp! Just another swamp swap;PaloSan56192711;
@CollinRugg Trump was right about him;Lanalou52;
@davidnwilson @MomAngtrades Technocrats hoping to isolate Trump from voters stepped in it bigly w/this visa debacle. Guarantee they weren t expecting the pushback received last week else why is Elon messing w/the algo on here? At some point this requires ;CodyEastmont;
@RepMTG It reminds me that January 6 2021 was a major political event in U.S. history when Trump supporters stormed the U.S. Capitol in an attempt to prevent the certification of the results of the 2020 presidential election.This event led to serious poli;DrGiovanna1988;
@sublimeamerica MAGA and Trump are some of the whiniest crybabies who are offended at the drop of an ugly red hat. You re all the ones crying to boycott everything that dares to offend your fragile delicate sensibilities. Now want to start again with the ;DonDonBonJovi;
@jaredadcrypto Cendy1412 fl together.! Happy newyear 2025;Cendynguyen2;
@jksmith34 @charise_lee No Putin or Putin faction controls Trump. They just do not want to give up their chess piece.;KeithBa22086886;
@LibertarianTrap @danirish @Friended4Ever @TonyUzuki @ModeratelyR @jordanbpeterson &gt;;
@cenkuygur You know Joe Biden is a chaotic evil person. Do you know the happiest moment he has in 4 years? Sitting with Trump in the white house because they are both essentially the same kind of person. https://t.co/dD1gI6ojKf;ErconEx;
@TRUMP_ARMY_ @realDonaldTrump You know what happened to all the businesses Trump has owned? Literally all of them went bankrupt.;dragonfire1024;
@glenn_tunes You mean like FBI &amp;;
@TheSaraTalks I agree with you Sara..Trump needs to rein in Elon's ego...Elon ain't an elected official;Buster_9969;
@HANKonX @CollinRugg Uhhhh Johnson has as much in common with the MAGA agenda as you or I do with a walnut. Let me rewrite: MAGA backs the citiens Johnson gives 2 sh*ts about MAGA Trump backs Johnson....because?;Saint_Hadrian;
@IanJaeger29 Your comment that Trump is a legend for a photo-op shows that you deserve your Trump cult merit badge. I am in awe of the depths that the cult has dropped.;RonMcGihon;
@Damaan4u33 So agree Mr Trump is too ole to be President ever so step down and be brave enough to do so ;syloliver;
Why in hell did we not demand a recount? Or an audit !!! They TOLD us (Putin trump EM @SpeakerJohnson Theil) that they would do it we knew they would do it results of the election showed that they did it and yet here we are doing NOTHING about it.;ElephantWatcher;
Dear Loser Libtards We are another day closer to getting Trump back in office. Cant wait for 2025! BS Handouts will be coming to an end. Respectfully Buck Keepin it a buck with Buck ;KeepitA_Buck001;
Hegseth has more experience than several past defense nominees. https://t.co/RLKLvHo27G #Hegseth #Trump #DonaldTrump;MetroVoice;
@JackPosobiec SARAH PALIN WAS THE FIRST MAJOR POLITICIAN TO ENDORSE DONALD TRUMP . IT IS TIME FOR DONALD TRUMP TO APPOINT SARAH PALIN . KEEP YOUR WORD MR TRUMP ! @realDonaldTrump @DonaldJTrumpJr @DanScavino @SarahPalinUSA @LaraLeaTrump @Bannons_WarRoom @e;VotePalin2028;
Trump should just lend that shit on 20th. I am so over the Biden administration s shit.;DaphneyDragone;
@BoilerBallin @LauraLoomer @premium Donald Trump is allowing this to happen.;FloridaCpaMst;
An ex-con a former heroin user a spy a rapist and a woman with big breasts. Who are they? Trump's nominees for Ambassadors. Nope that's not made up.;frost101;
Happy Birthday Donald Trump Jr!;docekc123;
@juneiper68 @dandinohill An insult to tree stumps ;TrumpSimp4Putin;
@try_common @Rebecca25339851 @NancyMace They were exonerated by dna evidence.;EducatingTrump2;
@ConservativaPol @brithume The Freedom Caucus always achieves exact opposite of stated goal. Controlled opposition. They just want to hamstring Trump and MAGA. Like on CR a few weeks ago. They made sure to give dems their pork for free. Fake speaker fight;PrplHddWrrr;
@LisaFla8 Trump is the GOAT at being a RINO!;Bigbparsons;
@POTUS You need to investigate the 2024 Presidential election put a stop to Inauguration Day &amp;;
@trumprealparody Yes of course. If Trump do what he say about war. Thank you and happy New year 2025 for you Thierry. ️️️️;thierrydpc;
@BRICSinfo Will it be done under Biden or Under Trump;reygilliano;
@Matt_Fleming321 Your Trump hating opinion;Merijoe12;
@DC_Draino They all need to back Johnson so we can move on with the Trump agenda;RobertPatelCFO;
Barack Obama Says Donald Trump Is Taking Credit for His Economy https://t.co/yUeWjfVd2Q via @YouTube;stopcancernow;
@lavern_spicer Dear Lavern One of the slimmest margins ever so not a landslide not a mandate. D'Angelo ain't getting the break Deepak is in Trump's America's First world.;itzadriheet;
@robkhenderson Trump and JD Vance on Rogan. What a cultural moment.;TooJay1994;
@Eric_Conn @calvinrobinson Make America great again with Donald Trump? You're in for a rude awakening.;STSewell;
@laralogan They're deliberately digging a hole so deep that Trump will never be able to dig America out of it. And it's all going right into their own pockets. Never underestimate the slobbering greed of the criminally corrupt.;realgenekaye;
@bgrice @Chelle98555808 @BumpstockBarbie Your right to bodily autonomy does not trump my right to life. You can not exercise you bodily autonomy to harm or kill another human. You can not exercise bodily autonomy if you don t have life. Come &amp;;
@TraitortR @JagmeetScheer @TheRealDEDWF11 @cra5h0verr1de @sophis_theo @cl1ntonserver @neda_meme @Silver_Strike @JenCages @Bruh888888888 @jarbot15 @Synyster63 @VinceGottalotta @Wantmy2dollars_ @8BrianVogel4 @randomizer88996 @IngridIngwah @jeffsmith0000 @Ci;realAnthonyHogg;
I would also like to wish you: Happy Birthday Don Jr and the Happiest of New Years! You (and your whole Trump clan) are truly an INSPIRING NATIONAL TREASURE!;Kingdom52David;
@richardson_trey @MattOroak @MilitaryCooI How were the few Americans left in Afghanistan as part of Trump's deal with the Taliban ever going to get all that hardware out? Trump made no plans to get the weapons &amp;;
@pie247937 @1Kdolo @Vital_Vibration Hardly Diddys number one fan. But keep trying to finger paint connections it makes this much more fun &amp;;
@BrettFavre No joke the last four years have been a nightmare. Here s to 2025 and the beginning of a great era for out country. Go Trump!!!;90michael19;
@CollinRugg All the Republicans should give their collective heads a really brisk shake they are there only because they rode in on Trump's coat tails.;WayneSn35339982;
@libsoftiktok Trump on July 13 2024: Fight! Fight! Fight!;Initiatus828;
@DisavowTrump20 Donald Trump caused a blood clot? https://t.co/YksUBlXLIf;ModernSilenceDG;
Republicans are the most hateful and spiteful ppl on earth. Oh and btw Donald Trump rated 3rd worst The 10 Worst U.S. Presidents Not all U.S. presidents are missed once they leave the White House. https://t.co/ZhaVaL3ZdL;1414Maple;
President Musk finally has a moment of clarity and agrees that Americans are too retarded to fill all tech industry roles in the country. Dumb as a stump bitch puppet secretary Trump and his racist MAGA shitbag followers are very upset. LMFAO;WiltonDon85915;
@RepAndyBiggsAZ Trump lied people died!! Maybe we need to prosecute Trump also!!!;smkoren;
@BeharGiacomo Have always backed President Trump but NOT this time go Steve Bannon !!!;jbrunet1326;
@Fitbodyexpert99 @rivercitywoman @CrimeInNYC At least Texas went even redder in 2024 election thanks to Trump;therealAndrewJo;
You know @BillGates is behind this;legaldawn;
@DefiyantlyFree Hot subtard take. The regulation had been in the works for years. Its beginnings were from the Trump administration l. But what would you know? You couldn t pass the naturalization test.;dmaranci;
@CassandraRules Blue check mark scam. Should be a full refund.;TrumpForce47JT;
@of_lyon68642 You are percent correct. @RepThomasMassie thinks he should be speaker. He is just trying to cause Chaos for Trump. Chip Roy is doing the same thing. They are both DeSantis lovers.;gieblerp;
@GuntherEagleman If Donald Trump wants that sack of let him have him as speaker. If it doesn t work out it s on him.;Golfer_MNorman;
@TheCalvinCooli1 Hopefully he just votes for Johnson and we can be done with this whole thing if Johnson folds to everything Trump wants like he did with Biden he'll likely be fine as Speaker. Especially since there's no viable alternative to Johnson that;Cory_Corson;
@try_common @Rebecca25339851 @NancyMace But she s still appealing it so how do you know? That s your logic. Trump is convicted and a proven rapist and proven serial fraudster.;EducatingTrump2;
@realDonaldTrump Trump E Jean Carrol called and said she wants her money;ScottMcCollum80;
@Cuse_MBB They gave him a shot. He's proven he can't adjust and his lack of control over the team HE CREATED is painfully obvious. He's gotta realize that ball starts and ends with him but SU fans deserves 1000x more than he can offer. Time to move on fro;Trump2757420;
@TresxEstes19 Trump;Moehoe56;
@Namara18Mc I grew up poor. Agreed. Chef at work has been diligent about not wasting food. I hope that I had something to do with that. He grew up poor to. I just reminded him.;PamelaL98281927;
@JessicaMattJoe @RepThomasMassie My point is you said we voted for trump and trump once johnson.I don't care what trump wantsIf he's doing something that's not good for this movement people need to call it out;2A_Fighter;
Comrade Aes: People are not chiding you for what you are saying they are chiding you for the stupidity of what you are saying. Trump is not even POTUS yet - Ukraine war going on for three years. Trump will help end it - but needs the reins of power first - dummy.;dgvreiman;
@mirandadevine Trump can just override it.;BlubonnetGal;
'Yes Donald Trump won the election but it wasn t a landslide ' @staceyabrams told MSNBC s Chris Hayes in an interview Dumb as a brick. American elections now are cities versus non cities. Remember if these people HAD won they would be doing away with the Electoral College so https://t.co/EIqVMumrNe;thdivewhisperer;
@123susanb I thought I was Republican until Trump showed me they're all the same and it's really just Washington and the rest of us.;Galloping_Guru;
@glenn_tunes Keep crying from Norway while trump will be certified because he won!;timmoore1973;
@MATTYWOLVES3 @EnglishFemale0 All the best in the New Year.;TheTrump4547;
Happy New Years 2025!! Can't wait for Trump's inauguration!! https://t.co/vYZ6V9jslU;Sterling_M10;
Musk and Trump have shown - once and for all- that the billionaire class cannot be trusted to represent the interests of the working-class people.;realbrotherfred;
Happy New Year from President Trump 2025 is going to be MASSIVE! 20 MORE DAYS! https://t.co/HQiOksnHZN;KashpatelCIA;
@DONTFALLlNLOVE @MacDoesIt Please provide proof that Trump said this.;JeremyBurr16;
@johndav85558110 Trump 🇺🇸;UlwellingRacing;
@DeloresHol52808 @sues86453 @j0ker937 Excatly....we need more Trump type policies and politicians sick of all this BS;Platoxxx67;
@TuckerCNews Trump will overturn it;OurMorgan;
@___Sean______ @Porter97977215 @zarathustra5150 I think any attempt by Sriram to sway Trump will look forced and annoying likely from a lack of western social aptitude and Trump will pick up on that right away and push back.;sinonmedia;
@elonmusk Less regulation makes it easier for corporations and billionaires to get away with more than they already do. You re fooling yourself if you think Trump wants less regulation to empower the American people/fix things he wants less regulation so ;GordyMisley;
@accordingtowoz @green279086 Following;Gimpa4Trump;
@TheRickyDavila Thank SCOTUS and the Republican Party for the shitshow that is trump.;CaptSarcasm2728;
@RepThomasMassie You are hurting the party and Trump. Knock it off.;Burd404040;
@here_garbage @KeenanPeachy You know it was a figure of speech right? Elon just sold us out for cheap labor. Trump backed him up. Israel is still our master. There s a long way to go. We can get there but lying to ourselves gets us nowhere.;WurstIsYet2Cum;
@ProudElephantUS Why is she blaming trump?;OneSweetDumplin;
@thevivafrei Major false flag event pitting America and its allies into a WW3 scenario where Trump can t back out of or be seen to be weak or a sympathiser. This will stop all the potential change Vivek Elon et al could do within the 4 years of power.;BCscifience;
@aziz0nomics Trump will save Putin.;MarcusBibulus;
@GuntherEagleman @RepJeffries I think Jan. 20th but you never know with Trump Make those Dems have a pure meltdown if it starts tomorrow. ;radiantamethyst;
@bandyt88 Happy New Year Trump Day;LindaTraitz;
25 Years Of Vladimir Putin Marked by War Devastated Economy: Russian Leader Looks To Trump For Support https://t.co/Gn4phfzkR6;FintechAlgo;
@GuntherEagleman @GOP Trump and the @GOP will remain soft and not do squat;1lesstraveldby;
@CityBureaucrat Yes of course https://t.co/7ICi9cD6tR;TrumpFolkArt;
@realDonaldTrump I Thank God For Our Hero President Trump! Your Digital MAGA Army is trained and battle tested are awaiting orders! Sir!;susiepayne23;
@stevesadow Her sole political platform was: get Trump . With no evidence of crime so they had to change laws to manufacture them. She then colluded with Obama s team that is still embedded in the Whitehouse. This whole administration is corrupt beyond be;kabster;
@SimonBanksHB @AustralianLabor Aaah Simon everything you say is fact. The LNP has been a comparatively horrible economic manager. But here comes the Butt . Will voters go for and succumb to Dutton s Trump mantra . Are Australians better off than 3 years a;ricci_bartels;
@lancewallnau Trump is YOUR chaos candidate! God is not a God of chaos!;Wjnelson70J;
Fire Mike Johnson! Conservatives have already seen he is no leader and will disappoint big time. Shame on Trump for backing Johnson. We only have two yrs at best. @Bannons_WarRoom @realDonaldTrump @RealAmVoice @JDVance @NEWSMAX @StephenM @RaheemKassam;GOD_Loves_USA;
@DougWahl1 Trump should be barred from Jimmy Carter s funeral instead he should be in prison.;Stan65741000;
@EhWire @brianlilley Well then Trump Putin Their respective militaries and your oath breaking shameful demonicly possessed bum buddy of a friend Zelensky and his former military will gladly hang both of you in the cold of Ukraine with one rope around zele;SWETM222;
@Spark7210 @MarieFeltz73329 @Bubblebathgirl @realDonaldTrump You are the party of the cabal the groomers the pedophiles with your president taking showers with her little girl and all the evidence in the laptop the party of the corruption and we will be g;EvaDavi25941705;
@AnnLesbyPhD I fear I ll be sent to one of Trump s re-education camps soon. What s your best advice for surviving?;Heber9317136318;
@DiligentDenizen Happy New Year to all from Alberta! Wishing the US much abundance in 2025 via Trump's Presidency and Canada ousting Trudeau;ScrubHill66;
@SamParkerSenate I expect Trump and Elon gonna part ways soon after Jan 20th.;TurtleSpeedWins;
@GenFlynn Lets thank god that the immoral corruption is out in the open now. Like raising a couple hundred million from corporations buying favors or to be left alone through the inauguration. Or like hiring NASA's biggest vendor to run NASA. Nothing Bide;jhpodesta;
MADDOW'S MISS: I THOUGHT VANCE WOULD SCARE VOTERS MSNBC host Rachel Maddow admitted she completely misjudged JD Vance expecting Americans to be unnerved by Trump's VP pick. Instead the 40-year-old went from first-time Senator to debate champ and likely 2028 frontrunner in https://t.co/ouQcaDifQd;kylawndog;
@allmychampagne girl did you go to the dunkin in the trump tower mine was $4.89;baytato;
14 years of heroin use. Heroin affects your brain. RFKjr. In charge of your health. He's not a nutritionist or has a degree in anything that would qualify him.. Trump has that big of a hold on all the people that support him. Not an independent thinker among them.;TB6845014462935;
@TheCriticalDri2 Exactly! Henry Cavill exists but they d rather force some woke or queer agenda down our throats. Bond is supposed to be badass DUDE not a checkbox.;ElonTrumpRock;
@lrb9316 @Michell33650674 You can't commit sexual abuse on a woman who thinks rape is SEXY !! Trump has already did more for America and Americans in these couple weeks than the mindless pedophile you voted for. Omg ! Run and get bidens nose off that litt;ucanncme;
#USPolitics : Thanks to Trump's blathering about fake news we never know if 'real news' about him - Is Actually True. A consequence of his personality. ;Michael99161326;
@TimforSenate No it's that some have TDS so hard that just the mention of beef tallow by someone on the Trump team immediately shuts down their brain -- even if they would love it.;karldickey;
@DefiyantlyFree @charliekirk11 The video of him finding out Trump won on election night made me cry like a baby @charliekirk11 He s the future of the party;RedPilledGirly;
@faisalkhan2200 @Acyn This is a distraction CANADA is NOT trying to loose its autonomy or independence. This is yet another trump distraction.;Kevin5740Arnold;
@libsoftiktok Kathy needs to be be prosecuted! She is the problem!;justReezon;
